Date Raw;Date Parsed;SLP Burned;SLP Minted
1598918400000;08/31/2020;0;115598
1599004800000;09/01/2020;0;571624
1599091200000;09/02/2020;200;224276
1599177600000;09/03/2020;5400;451281
1599264000000;09/04/2020;4000;102043
1599350400000;09/05/2020;20300;430254
1599436800000;09/06/2020;12000;265241
1599523200000;09/07/2020;30100;236329
1599609600000;09/08/2020;13700;160615
1599696000000;09/09/2020;4000;157424
1599782400000;09/10/2020;4500;227456
1599868800000;09/11/2020;23000;412777
1599955200000;09/12/2020;11300;225898
1600041600000;09/13/2020;12800;252290
1600128000000;09/14/2020;14100;160274
1600214400000;09/15/2020;19500;207854
1600300800000;09/16/2020;12200;178592
1600387200000;09/17/2020;4300;171202
1600473600000;09/18/2020;38700;547050
1600560000000;09/19/2020;68700;596514
1600646400000;09/20/2020;58000;331860
1600732800000;09/21/2020;60000;2463284
1600819200000;09/22/2020;13900;1104839
1600905600000;09/23/2020;49300;448641
1600992000000;09/24/2020;129100;435504
1601078400000;09/25/2020;126400;545239
1601164800000;09/26/2020;138100;495780
1601251200000;09/27/2020;70600;302016
1601337600000;09/28/2020;106000;265171
1601424000000;09/29/2020;160800;476517
1601510400000;09/30/2020;253900;470185
1601596800000;10/01/2020;321700;408198
1601683200000;10/02/2020;263200;509257
1601769600000;10/03/2020;170700;520264
1601856000000;10/04/2020;144000;434209
1601942400000;10/05/2020;260800;449172
1602028800000;10/06/2020;350700;301126
1602115200000;10/07/2020;350000;330602
1602201600000;10/08/2020;316200;663824
1602288000000;10/09/2020;355500;803665
1602374400000;10/10/2020;345400;715683
1602460800000;10/11/2020;379200;692782
1602547200000;10/12/2020;291300;601695
1602633600000;10/13/2020;335100;391127
1602720000000;10/14/2020;250900;512957
1602806400000;10/15/2020;379600;594283
1602892800000;10/16/2020;523700;1281581
1602979200000;10/17/2020;478900;646122
1603065600000;10/18/2020;345700;626004
1603152000000;10/19/2020;269900;567860
1603238400000;10/20/2020;428100;440025
1603324800000;10/21/2020;392800;519468
1603411200000;10/22/2020;542100;798061
1603497600000;10/23/2020;620200;868787
1603584000000;10/24/2020;394100;744964
1603670400000;10/25/2020;246300;4750885
1603756800000;10/26/2020;410000;851946
1603843200000;10/27/2020;401600;3452948
1603929600000;10/28/2020;386200;741502
1604016000000;10/29/2020;636900;412823
1604102400000;10/30/2020;671500;805309
1604188800000;10/31/2020;570400;826972
1604275200000;11/01/2020;421300;857101
1604361600000;11/02/2020;572500;787850
1604448000000;11/03/2020;583700;955540
1604534400000;11/04/2020;751500;513592
1604620800000;11/05/2020;517700;569592
1604707200000;11/06/2020;585800;695174
1604793600000;11/07/2020;860000;1248069
1604880000000;11/08/2020;542100;1345578
1604966400000;11/09/2020;320000;9744310
1605052800000;11/10/2020;319600;675238
1605139200000;11/11/2020;594900;538446
1605225600000;11/12/2020;540300;614967
1605312000000;11/13/2020;1060200;974337
1605398400000;11/14/2020;570100;1678711
1605484800000;11/15/2020;417700;873039
1605571200000;11/16/2020;177300;891323
1605657600000;11/17/2020;487200;713086
1605744000000;11/18/2020;1120500;1397068
1605830400000;11/19/2020;506800;604221
1605916800000;11/20/2020;658200;905375
1606003200000;11/21/2020;489800;948997
1606089600000;11/22/2020;265500;858454
1606176000000;11/23/2020;465100;632976
1606262400000;11/24/2020;677500;1117501
1606348800000;11/25/2020;489700;560288
1606435200000;11/26/2020;1297400;1484564
1606521600000;11/27/2020;1155100;1862750
1606608000000;11/28/2020;925500;1878752
1606694400000;11/29/2020;269500;1471134
1606780800000;11/30/2020;539300;677772
1606867200000;12/01/2020;863400;1130804
1606953600000;12/02/2020;651600;1332678
1607040000000;12/03/2020;495800;896369
1607126400000;12/04/2020;834100;2023899
1607212800000;12/05/2020;769600;2379913
1607299200000;12/06/2020;574200;1069041
1607385600000;12/07/2020;266800;3908875
1607472000000;12/08/2020;455000;1690783
1607558400000;12/09/2020;915800;2120579
1607644800000;12/10/2020;604200;1155455
1607731200000;12/11/2020;1186800;2257278
1607817600000;12/12/2020;739700;1910815
1607904000000;12/13/2020;265100;2546445
1607990400000;12/14/2020;86400;1258335
1608076800000;12/15/2020;132100;986307
1608163200000;12/16/2020;37700;192563
1608249600000;12/17/2020;413500;1713051
1608336000000;12/18/2020;1091700;2132640
1608422400000;12/19/2020;1354600;3603272
1608508800000;12/20/2020;222600;1709566
1608595200000;12/21/2020;166900;1808622
1608681600000;12/22/2020;42600;730324
1608768000000;12/23/2020;491200;1010047
1608854400000;12/24/2020;227000;928857
1608940800000;12/25/2020;445400;1099311
1609027200000;12/26/2020;295300;773122
1609113600000;12/27/2020;71300;621696
1609200000000;12/28/2020;141800;593802
1609286400000;12/29/2020;48800;345942
1609372800000;12/30/2020;145300;522733
1609459200000;12/31/2020;775100;1544127
1609545600000;01/01/2021;458200;960138
1609632000000;01/02/2021;15000;378488
1609718400000;01/03/2021;1200;112334
1609804800000;01/04/2021;7300;365507
1609891200000;01/05/2021;17100;452665
1609977600000;01/06/2021;12600;390973
1610064000000;01/07/2021;26300;366138
1610150400000;01/08/2021;113200;1517161
1610236800000;01/09/2021;88400;1584024
1610323200000;01/10/2021;14000;106991
1610409600000;01/11/2021;153400;1515245
1610496000000;01/12/2021;451200;2334962
1610582400000;01/13/2021;242700;1244490
1610668800000;01/14/2021;182200;1271534
1610755200000;01/15/2021;91700;1001928
1610841600000;01/16/2021;259200;2330428
1610928000000;01/17/2021;58200;1584785
1611014400000;01/18/2021;11700;432080
1611100800000;01/19/2021;28000;916637
1611187200000;01/20/2021;19800;1947468
1611273600000;01/21/2021;2800;729957
1611360000000;01/22/2021;36100;1848161
1611446400000;01/23/2021;31600;2668887
1611532800000;01/24/2021;10000;932444
1611619200000;01/25/2021;19200;1713229
1611705600000;01/26/2021;28800;2128345
1611792000000;01/27/2021;14400;1265347
1611878400000;01/28/2021;2900;291520
1611964800000;01/29/2021;21000;2206930
1612051200000;01/30/2021;1800;8944490
1612137600000;01/31/2021;400;1335524
1612224000000;02/01/2021;0;2047167
1612310400000;02/02/2021;200;1213625
1612396800000;02/03/2021;900;289267
1612483200000;02/04/2021;0;1444647
1612569600000;02/05/2021;0;5707928
1612656000000;02/06/2021;2800;3697232
1612742400000;02/07/2021;3600;1807285
1612828800000;02/08/2021;200;632160
1612915200000;02/09/2021;10000;2368893
1613001600000;02/10/2021;11400;5266090
1613088000000;02/11/2021;10000;2453696
1613174400000;02/12/2021;1500;4990764
1613260800000;02/13/2021;5400;18097035
1613347200000;02/14/2021;10300;6927588
1613433600000;02/15/2021;2500;10077688
1613520000000;02/16/2021;4900;2475551
1613606400000;02/17/2021;900;1254799
1613692800000;02/18/2021;4200;5939696
1613779200000;02/19/2021;3700;13314932
1613865600000;02/20/2021;14500;8584363
1613952000000;02/21/2021;1800;1145006
1614038400000;02/22/2021;1100;470188
1614124800000;02/23/2021;5100;1093687
1614211200000;02/24/2021;5000;1009271
1614297600000;02/25/2021;32300;992745
1614384000000;02/26/2021;120200;1571545
1614470400000;02/27/2021;176400;2064266
1614556800000;02/28/2021;86200;1242346
1614643200000;03/01/2021;93500;1341717
1614729600000;03/02/2021;84700;1650978
1614816000000;03/03/2021;116300;4644883
1614902400000;03/04/2021;67300;2393911
1614988800000;03/05/2021;351100;3163976
1615075200000;03/06/2021;206800;2452291
1615161600000;03/07/2021;116100;2716787
